task,seed_group,seed,selected_physical_gpu,rollout_steps,completed_299,guided_reward_mean,denoised_reward_mean,vae_base_reward_mean,guided_target_body_error_mean,denoised_target_body_error_mean,vae_base_target_body_error_mean,reward_delta_vs_denoised,error_delta_vs_denoised,reward_delta_vs_vae_base,error_delta_vs_vae_base,guidance_cost_delta_mean,guidance_signal_positive,guided_base_action_mse_mean,action_changed_threshold,action_changed,reward_improved_vs_denoised,tracking_error_not_worse_vs_denoised,local_proxy_pass,mp4,claim_level
joystick,seed_group_0_existing,,4,299,True,0.02026389510897191,0.022860872207277994,0.022249895557574305,0.3444918692111969,0.34543320536613464,0.34529760479927063,-0.002596977098306086,-0.0009413361549377441,-0.0019860004486023965,-0.0008057355880737305,6.780769040552669e-05,True,8.954698562405134e-08,1e-08,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_0_existing,,4,299,True,0.023516151245783105,0.023554615927922438,0.02402267133798388,0.3424043357372284,0.34194475412368774,0.34326744079589844,-3.846468213933307e-05,0.0004595816135406494,-0.0005065200922007747,-0.0008631050586700439,7.576704722981788e-06,True,8.25262988760002e-08,1e-08,True,False,False,False,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
obstacle_avoidance,seed_group_0_existing,,4,299,True,0.0239038624408278,0.02388587447014142,0.023701916136514133,0.344357430934906,0.3451519310474396,0.3447401225566864,1.7987970686379057e-05,-0.0007945001125335693,0.000201946304313666,-0.0003826916217803955,2.9726632961062683e-07,True,6.430640686096747e-08,1e-08,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
composed,seed_group_0_existing,,4,299,True,0.023154594104606224,0.022340207010270858,0.02445824808880288,0.34435439109802246,0.3462808132171631,0.34435775876045227,0.0008143870943353657,-0.001926422119140625,-0.0013036539841966566,-3.3676624298095703e-06,6.256115476423283e-05,True,6.923221049811308e-08,1e-08,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
joystick,seed_group_1,20260801,4,299,True,0.02312989044626147,0.022366388171387953,0.023124645289693987,0.34429267048835754,0.3444271385669708,0.34381747245788574,0.0007635022748735155,-0.00013446807861328125,5.2451565674821454e-06,0.00047519803047180176,6.608977714509868e-05,True,7.053012775376158e-08,1e-08,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_1,20260802,4,299,True,0.02291637466423039,0.02372584985974042,0.025871265431971952,0.3450491726398468,0.34526413679122925,0.34423863887786865,-0.0008094751955100322,-0.0002149641513824463,-0.002954890767741563,0.0008105337619781494,7.585625485034292e-06,True,8.298339098226873e-08,1e-08,True,False,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
obstacle_avoidance,seed_group_1,20260803,4,299,True,0.02196649725651711,0.021566324949850106,0.022129475653800728,0.3427552580833435,0.34287407994270325,0.34211471676826477,0.000400172306667005,-0.00011882185935974121,-0.00016297839728361685,0.0006405413150787354,3.4812464064180255e-07,True,9.071782924194852e-08,1e-08,True,True,True,True,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
composed,seed_group_1,20260804,4,299,True,0.022456721799840595,0.022680498670512517,0.022463371640033897,0.3445664942264557,0.34397026896476746,0.3434990346431732,-0.0002237768706719219,0.0005962252616882324,-6.649840193301282e-06,0.0010674595832824707,6.386216567910236e-05,True,8.797246420965017e-08,1e-08,True,False,False,False,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
joystick,seed_group_2,20260811,4,299,True,0.025090051732371783,0.026047450051110324,0.024685219685581315,0.3436736464500427,0.3432193100452423,0.34258362650871277,-0.0009573983187385407,0.00045433640480041504,0.00040483204679046814,0.001090019941329956,6.555906032838152e-05,True,6.717022368047779e-08,1e-08,True,False,False,False,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
waypoint,seed_group_2,20260812,4,299,True,0.02051816950474296,0.022134663261485638,0.023096871585663047,0.343173086643219,0.34240925312042236,0.34426209330558777,-0.001616493756742679,0.0007638335227966309,-0.0025787020809200888,-0.0010890066623687744,7.686407669730809e-06,True,9.318779056177691e-08,1e-08,True,False,False,False,/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,local_proxy_success_boundary_not_paper_fig5_fig6
